WB	19-12	png				
Mug	MugAnimeGen2	0	0657	8766845041	876684 5041	0
Mug	MugAnimeGen2	0	0692	8767435421	876743 5421	0
Mug	MugAnimeGen2	0	0856	8768196786	876819 6786	0
Mug	MugAnimeGen5	0	1109	8768628961	876862 8961	0
Mug	MugAnimeGen8	0	0082	8766330672	876633 0672	0
Mug	MugAnimeGen8	0	0318	8766662183	876666 2183	0
Mug	MugAnimeGen9	0	0241	8768121889	876812 1889	0
Mug	MugAnimeGen9	0	0293	8767102075	876710 2075	0
Mug	MugAnimeGen9	0	0321	8767282198	876728 2198	0
Mug	MugAnimeGen9	0	0592	8767104453	876710 4453	5-72
Mug	MugAnimeGen9	0	0980	8768917911	876891 7911	0
Mug	MugAnimeGen9	0	1110	8768628963	876862 8963	0
Mug	MugAnimeGen9	0	1121	8765929037	876592 9037	0
Mug	MugAnimeGen9	0	1161	8768519340	876851 9340	0
Mug	MugAnimeGen9	0	1232	8765969833	876596 9833	0
Mug	MugChildNiceBunny	0	0405	8767502878	876750 2878	0
Mug	MugChildNiceBunny	0	0836	8767226561	876722 6561	0
Mug	MugChilLafanPanama	0	0519	8767743749	876774 3749	0
Mug	MugGiftBestSon	0	1016	8766768159	876676 8159	0
Mug	MugGiftBestVnuk	0	0921	8766737419	876673 7419	0
Mug	MugGiftFamilyLoveBAB	0	0079	8769150656	876915 0656	0
Mug	MugGiftFamilyLoveBAB	0	0153	8767131292	876713 1292	6-72
Mug	MugGiftFamilyLoveBAB	0	0212	8767881710	876788 1710	0
Mug	MugGiftFamilyLoveBAB	0	0214	8768301716	876830 1716	0
Mug	MugGiftFamilyLoveBAB	0	0226	8767621772	876762 1772	0
Mug	MugGiftFamilyLoveBAB	0	0342	8769152367	876915 2367	0
Mug	MugGiftFamilyLoveBAB	0	0365	8766972496	876697 2496	0
Mug	MugGiftFamilyLoveBAB	0	0476	8767873424	876787 3424	0
Mug	MugGiftFamilyLoveBAB	0	0527	8768513836	876851 3836	0
Mug	MugGiftFamilyLoveBAB	0	0528	8768513837	876851 3837	0
Mug	MugGiftFamilyLoveBAB	0	0567	8765944157	876594 4157	0
Mug	MugGiftFamilyLoveBAB	0	0570	8767944221	876794 4221	0
Mug	MugGiftFamilyLoveBAB	0	0595	8767954472	876795 4472	0
Mug	MugGiftFamilyLoveBAB	0	0641	8766774920	876677 4920	7-72
Mug	MugGiftFamilyLoveBAB	0	0725	8766495651	876649 5651	0
Mug	MugGiftFamilyLoveBAB	0	0731	8767935719	876793 5719	0
Mug	MugGiftFamilyLoveBAB	0	0756	8767185988	876718 5988	0
Mug	MugGiftFamilyLoveBAB	0	0829	8766966464	876696 6464	0
Mug	MugGiftFamilyLoveBAB	0	0857	8768796790	876879 6790	0
Mug	MugGiftFamilyLoveBAB	0	0965	8766527810	876652 7810	0
Mug	MugGiftFamilyLoveBAB	0	0971	8766367829	876636 7829	0
Mug	MugGiftFamilyLoveBAB	0	0973	8767267848	876726 7848	0
Mug	MugGiftFamilyLoveBAB	0	1037	8767848356	876784 8356	0
Mug	MugGiftFamilyLoveBAB	0	1128	8767409136	876740 9136	0
Mug	MugGiftFamilyLoveDED	0	0211	8767881709	876788 1709	0
Mug	MugGiftFamilyLoveDED	0	0537	8767953892	876795 3892	8-72
Mug	MugGiftFamilyLoveDED	0	0860	8768536801	876853 6801	0
Mug	MugGiftFamilyLoveDED	0	0978	8768137884	876813 7884	0
Mug	MugGiftFamilyLoveDED	0	1151	8766839294	876683 9294	0
Mug	MugGiftFamilyLoveDED	0	1153	8767269308	876726 9308	0
Mug	MugGiftFamilyLoveVBAB	0	0147	8767401239	876740 1239	0
Mug	MugGiftFamilyLoveVBAB	0	0655	8766755008	876675 5008	0
Mug	MugGiftFamilyLoveVBAB	0	0858	8768536797	876853 6797	0
Mug	MugGiftFamilyLoveVBAB	0	1111	8768698963	876869 8963	0
Mug	MugGiftFamilyLoveVBAB	0	1114	8767278995	876727 8995	0
Mug	MugGiftFamilyLoveVDED	0	0301	8767602108	876760 2108	0
Mug	MugGiftFamilyLoveVDED	0	1115	8767278996	876727 8996	0
Mug	MugGiftFamilyLoveVDED	0	1169	8767579380	876757 9380	9-72
Mug	MugGiftiLoveYoubabushka	0	0042	8768210391	876821 0391	0
Mug	MugGiftiLoveYoubabushka	0	0044	8767170409	876717 0409	0
Mug	MugGiftiLoveYoubabushka	0	0141	8768461148	876846 1148	0
Mug	MugGiftiLoveYoubabushka	0	0368	8766432518	876643 2518	0
Mug	MugGiftiLoveYoubabushka	0	0395	8766002804	876600 2804	0
Mug	MugGiftiLoveYoubabushka	0	0532	8766083862	876608 3862	0
Mug	MugGiftiLoveYoubabushka	0	0541	8768913937	876891 3937	0
Mug	MugGiftiLoveYoubabushka	0	0633	8767844847	876784 4847	0
Mug	MugGiftiLoveYoubabushka	0	0652	8766944991	876694 4991	0
Mug	MugGiftiLoveYoubabushka	0	0653	8766944994	876694 4994	0
Mug	MugGiftiLoveYoubabushka	0	0654	8766944995	876694 4995	0
Mug	MugGiftiLoveYoubabushka	0	0719	8768235610	876823 5610	10-72
Mug	MugGiftiLoveYoubabushka	0	0720	8768235611	876823 5611	0
Mug	MugGiftiLoveYoubabushka	0	0864	8767226853	876722 6853	0
Mug	MugGiftiLoveYoubabushka	0	0904	8767227271	876722 7271	0
Mug	MugGiftiLoveYoubabushka	0	0991	8768797950	876879 7950	0
Mug	MugGiftiLoveYoubabushka	0	0992	8768797951	876879 7951	0
Mug	MugGiftiLoveYoubabushka	0	1038	8768138359	876813 8359	0
Mug	MugGiftiLoveYoubabushka	0	1081	8767868684	876786 8684	0
Mug	MugGiftiLoveYoubabushka	0	1084	8766648708	876664 8708	0
Mug	MugGiftiLoveYoubabushka	0	1180	8767599445	876759 9445	0
Mug	MugGiftiLoveYoubabushka	0	1224	8767039760	876703 9760	0
Mug	MugGiftiLoveYoubabushka	0	1250	8766649995	876664 9995	0
Mug	MugGiftiLoveYoudedushka	0	0015	8768560128	876856 0128	11-72
Mug	MugGiftiLoveYoudedushka	0	0155	8767871297	876787 1297	0
Mug	MugGiftiLoveYoudedushka	0	0160	8768461322	876846 1322	0
Mug	MugGiftiLoveYoudedushka	0	0359	8767452445	876745 2445	0
Mug	MugGiftiLoveYoudedushka	0	0362	8768302457	876830 2457	0
Mug	MugGiftiLoveYoudedushka	0	0367	8766432517	876643 2517	0
Mug	MugGiftiLoveYoudedushka	0	0542	8768913938	876891 3938	0
Mug	MugGiftiLoveYoudedushka	0	0640	8767064911	876706 4911	0
Mug	MugGiftiLoveYoudedushka	0	0721	8768235612	876823 5612	0
Mug	MugGiftiLoveYoudedushka	0	0906	8767227273	876722 7273	0
Mug	MugGiftiLoveYoudedushka	0	1079	8767868682	876786 8682	0
Mug	MugGiftiLoveYoudedushka	0	1125	8767849078	876784 9078	0
Mug	MugGiftiLoveYoudedushka	0	1225	8767039761	876703 9761	12-72
Mug	MugGiftiLoveYoudedushka	0	1242	8767599940	876759 9940	0
Mug	MugGiftiLoveYoudedushka	0	1248	8766649992	876664 9992	0
Mug	MugGiftiLoveYoumama	0	0530	8765993850	876599 3850	0
Mug	MugGiftiLoveYoumama	0	0717	8767765606	876776 5606	0
Mug	MugGiftNameIvan	0	0373	8769062594	876906 2594	0
Mug	MugGiftNameMasha	0	0920	8766737418	876673 7418	0
Mug	MugMem18+BesitKotBesitKot	0	0744	8768465885	876846 5885	0
Mug	MugMem18+BesitKotBesitKot	0	0948	8768377652	876837 7652	0
Mug	MugMem18+BesitKotBesitKot	0	1056	8767188470	876718 8470	0
Mug	MugMem18+BesitKotBesitKot	0	1071	8768208632	876820 8632	0
Mug	MugMem18+BesitKotBesitKot	0	1164	8765949353	876594 9353	0
Mug	MugMem18+BesitKotBesitKot	0	1194	8767999540	876799 9540	13-72
Mug	MugMemBukvai	0	0853	8767916738	876791 6738	0
Mug	MugMemBukvai	0	1099	8767778867	876777 8867	0
Mug	MugMemBukvaSrazu	0	0600	8767734499	876773 4499	0
Mug	MugMemBukvaUbig	0	0585	8766424392	876642 4392	0
Mug	MugMemBukvaUbig	0	0736	8768935759	876893 5759	0
Mug	MugMemChel2duba	0	0780	8768046106	876804 6106	0
Mug	MugMemChel2mood	0	0308	8766512134	876651 2134	0
Mug	MugMemChel2mood	0	1206	8768169652	876816 9652	0
Mug	MugMemChel2mozgi	0	0013	8767850110	876785 0110	0
Mug	MugMemChel2mozgi	0	0483	8766703473	876670 3473	0
Mug	MugMemChel2mozgi	0	0974	8766787851	876678 7851	0
Mug	MugMemChel2mozgi	0	1216	8767889709	876788 9709	14-72
Mug	MugMemChel2mozgi	0	1217	8766839711	876683 9711	0
Mug	MugMemChel2sng	0	0003	8767050010	876705 0010	0
Mug	MugMemChel2sng	0	0086	8768540725	876854 0725	0
Mug	MugMemChel2sng	0	0149	8767961248	876796 1248	0
Mug	MugMemChel2sng	0	0152	8766961280	876696 1280	0
Mug	MugMemChel2sng	0	0169	8767481415	876748 1415	0
Mug	MugMemChel2sng	0	0171	8768351432	876835 1432	0
Mug	MugMemChel2sng	0	0173	8766451462	876645 1462	0
Mug	MugMemChel2sng	0	0187	8766711573	876671 1573	0
Mug	MugMemChel2sng	0	0188	8766611578	876661 1578	0
Mug	MugMemChel2sng	0	0204	8767271670	876727 1670	0
Mug	MugMemChel2sng	0	0237	8768321845	876832 1845	15-72
Mug	MugMemChel2sng	0	0245	8766681916	876668 1916	0
Mug	MugMemChel2sng	0	0290	8766832066	876683 2066	0
Mug	MugMemChel2sng	0	0305	8768132116	876813 2116	0
Mug	MugMemChel2sng	0	0338	8766522359	876652 2359	0
Mug	MugMemChel2sng	0	0429	8768153077	876815 3077	0
Mug	MugMemChel2sng	0	0447	8768943217	876894 3217	0
Mug	MugMemChel2sng	0	0448	8768943219	876894 3219	0
Mug	MugMemChel2sng	0	0455	8769013292	876901 3292	0
Mug	MugMemChel2sng	0	0481	8766943455	876694 3455	0
Mug	MugMemChel2sng	0	0538	8767963902	876796 3902	0
Mug	MugMemChel2sng	0	0577	8767184292	876718 4292	0
Mug	MugMemChel2sng	0	0579	8768264304	876826 4304	16-72
Mug	MugMemChel2sng	0	0591	8768094446	876809 4446	0
Mug	MugMemChel2sng	0	0606	8767844567	876784 4567	0
Mug	MugMemChel2sng	0	0627	8767964810	876796 4810	0
Mug	MugMemChel2sng	0	0635	8768164868	876816 4868	0
Mug	MugMemChel2sng	0	0650	8767824990	876782 4990	0
Mug	MugMemChel2sng	0	0686	8768005333	876800 5333	0
Mug	MugMemChel2sng	0	0700	8767405495	876740 5495	0
Mug	MugMemChel2sng	0	0701	8765955510	876595 5510	0
Mug	MugMemChel2sng	0	0724	8766315640	876631 5640	0
Mug	MugMemChel2sng	0	0812	8768936367	876893 6367	0
Mug	MugMemChel2sng	0	0813	8766096368	876609 6368	0
Mug	MugMemChel2sng	0	0892	8767937133	876793 7133	17-72
Mug	MugMemChel2sng	0	0907	8767367287	876736 7287	0
Mug	MugMemChel2sng	0	0929	8767217475	876721 7475	0
Mug	MugMemChel2sng	0	0967	8766437819	876643 7819	0
Mug	MugMemChel2sng	0	1007	8768798104	876879 8104	0
Mug	MugMemChel2sng	0	1053	8766018429	876601 8429	0
Mug	MugMemChel2sng	0	1075	8767218648	876721 8648	0
Mug	MugMemChel2sng	0	1146	8767379272	876737 9272	0
Mug	MugMemChel2sng	0	1148	8766239283	876623 9283	0
Mug	MugMemChel2sng	0	1172	8767969383	876796 9383	0
Mug	MugMemChel2sng	0	1197	8767869595	876786 9595	0
Mug	MugMemChel2sng	0	1209	8767159671	876715 9671	0
Mug	MugMemChel2sng	0	1211	8767119687	876711 9687	18-72
Mug	MugMemChel2sng	0	1221	8768039748	876803 9748	0
Mug	MugMemChel2sng	0	1249	8766679992	876667 9992	0
Mug	MugMemChelaloe	0	0162	8766361334	876636 1334	0
Mug	MugMemChelchill	0	0195	8767841601	876784 1601	0
Mug	MugMemChelhophey	0	0288	8766832064	876683 2064	0
Mug	MugMemChelhophey	0	0328	8768032282	876803 2282	0
Mug	MugMemChelhophey	0	0740	8768815843	876881 5843	0
Mug	MugMemChelhophey	0	1097	8768098860	876809 8860	0
Mug	MugMemChellove	0	0002	8768090004	876809 0004	0
Mug	MugMemChellove	0	0028	8766600270	876660 0270	0
Mug	MugMemChellove	0	0046	8766730416	876673 0416	0
Mug	MugMemChellove	0	0050	8767180479	876718 0479	19-72
Mug	MugMemChellove	0	0057	8767000539	876700 0539	0
Mug	MugMemChellove	0	0091	8768690806	876869 0806	0
Mug	MugMemChellove	0	0092	8768690807	876869 0807	0
Mug	MugMemChellove	0	0101	8767630915	876763 0915	0
Mug	MugMemChellove	0	0110	8769161005	876916 1005	0
Mug	MugMemChellove	0	0111	8768621013	876862 1013	0
Mug	MugMemChellove	0	0132	8766231122	876623 1122	0
Mug	MugMemChellove	0	0137	8767891132	876789 1132	0
Mug	MugMemChellove	0	0140	8767191143	876719 1143	0
Mug	MugMemChellove	0	0148	8767401241	876740 1241	0
Mug	MugMemChellove	0	0158	8768621309	876862 1309	0
Mug	MugMemChellove	0	0163	8766941340	876694 1340	20-72
Mug	MugMemChellove	0	0183	8767701560	876770 1560	0
Mug	MugMemChellove	0	0196	8767951616	876795 1616	0
Mug	MugMemChellove	0	0205	8766781677	876678 1677	0
Mug	MugMemChellove	0	0216	8767521725	876752 1725	0
Mug	MugMemChellove	0	0236	8767341842	876734 1842	0
Mug	MugMemChellove	0	0266	8767351982	876735 1982	0
Mug	MugMemChellove	0	0292	8766832068	876683 2068	0
Mug	MugMemChellove	0	0303	8766742109	876674 2109	0
Mug	MugMemChellove	0	0358	8766962444	876696 2444	0
Mug	MugMemChellove	0	0363	8767202465	876720 2465	0
Mug	MugMemChellove	0	0382	8768352646	876835 2646	0
Mug	MugMemChellove	0	0391	8766422768	876642 2768	21-72
Mug	MugMemChellove	0	0394	8767912800	876791 2800	0
Mug	MugMemChellove	0	0436	8767243145	876724 3145	0
Mug	MugMemChellove	0	0437	8769013154	876901 3154	0
Mug	MugMemChellove	0	0465	8766723362	876672 3362	0
Mug	MugMemChellove	0	0501	8767133609	876713 3609	0
Mug	MugMemChellove	0	0509	8768123645	876812 3645	0
Mug	MugMemChellove	0	0551	8768094001	876809 4001	0
Mug	MugMemChellove	0	0553	8767254010	876725 4010	0
Mug	MugMemChellove	0	0587	8767874405	876787 4405	0
Mug	MugMemChellove	0	0588	8767604422	876760 4422	0
Mug	MugMemChellove	0	0610	8766354623	876635 4623	0
Mug	MugMemChellove	0	0613	8766354625	876635 4625	22-72
Mug	MugMemChellove	0	0619	8766954682	876695 4682	0
Mug	MugMemChellove	0	0625	8768074808	876807 4808	0
Mug	MugMemChellove	0	0628	8769044828	876904 4828	0
Mug	MugMemChellove	0	0642	8766664946	876666 4946	0
Mug	MugMemChellove	0	0644	8767844949	876784 4949	0
Mug	MugMemChellove	0	0660	8766685078	876668 5078	0
Mug	MugMemChellove	0	0674	8766415259	876641 5259	0
Mug	MugMemChellove	0	0679	8768305275	876830 5275	0
Mug	MugMemChellove	0	0680	8767785284	876778 5284	0
Mug	MugMemChellove	0	0713	8767065566	876706 5566	0
Mug	MugMemChellove	0	0730	8767335719	876733 5719	0
Mug	MugMemChellove	0	0733	8768385738	876838 5738	23-72
Mug	MugMemChellove	0	0751	8766755946	876675 5946	0
Mug	MugMemChellove	0	0768	8767246057	876724 6057	0
Mug	MugMemChellove	0	0783	8768246116	876824 6116	0
Mug	MugMemChellove	0	0784	8766876121	876687 6121	0
Mug	MugMemChellove	0	0790	8768366155	876836 6155	0
Mug	MugMemChellove	0	0820	8767506396	876750 6396	0
Mug	MugMemChellove	0	0821	8767506399	876750 6399	0
Mug	MugMemChellove	0	0831	8767206492	876720 6492	0
Mug	MugMemChellove	0	0833	8767796512	876779 6512	0
Mug	MugMemChellove	0	0834	8768586529	876858 6529	0
Mug	MugMemChellove	0	0837	8767826562	876782 6562	0
Mug	MugMemChellove	0	0872	8765936911	876593 6911	24-72
Mug	MugMemChellove	0	0879	8766727030	876672 7030	0
Mug	MugMemChellove	0	0911	8767517303	876751 7303	0
Mug	MugMemChellove	0	0930	8767037477	876703 7477	0
Mug	MugMemChellove	0	0932	8766227489	876622 7489	0
Mug	MugMemChellove	0	0947	8766047634	876604 7634	0
Mug	MugMemChellove	0	0958	8765997701	876599 7701	0
Mug	MugMemChellove	0	0985	8766967938	876696 7938	0
Mug	MugMemChellove	0	0986	8766967941	876696 7941	0
Mug	MugMemChellove	0	1033	8768288318	876828 8318	0
Mug	MugMemChellove	0	1045	8766798397	876679 8397	0
Mug	MugMemChellove	0	1055	8768738456	876873 8456	0
Mug	MugMemChellove	0	1072	8768508632	876850 8632	25-72
Mug	MugMemChellove	0	1077	8768478668	876847 8668	0
Mug	MugMemChellove	0	1083	8768208707	876820 8707	0
Mug	MugMemChellove	0	1086	8768618739	876861 8739	0
Mug	MugMemChellove	0	1089	8765908788	876590 8788	0
Mug	MugMemChellove	0	1098	8768098866	876809 8866	0
Mug	MugMemChellove	0	1139	8767049192	876704 9192	0
Mug	MugMemChellove	0	1144	8768109249	876810 9249	0
Mug	MugMemChellove	0	1152	8766779297	876677 9297	0
Mug	MugMemChellove	0	1163	8767919351	876791 9351	0
Mug	MugMemChellove	0	1188	8767129502	876712 9502	0
Mug	MugMemChellove	0	1191	8767609506	876760 9506	0
Mug	MugMemChellove	0	1201	8766829604	876682 9604	26-72
Mug	MugMemChellove	0	1204	8768939635	876893 9635	0
Mug	MugMemChellove	0	1218	8768359711	876835 9711	0
Mug	MugMemChellove	0	1220	8767229725	876722 9725	0
Mug	MugMemChellove	0	1240	8767839936	876783 9936	0
Mug	MugMemChelpovorot	0	0001	8767630002	876763 0002	0
Mug	MugMemChelpovorot	0	0184	8768241561	876824 1561	0
Mug	MugMemChelpovorot	0	0289	8766832065	876683 2065	0
Mug	MugMemChelpovorot	0	0425	8766743051	876674 3051	0
Mug	MugMemChelpovorot	0	0961	8769027724	876902 7724	0
Mug	MugMemChelsosny	0	0327	8768712260	876871 2260	0
Mug	MugMemChelsosny	0	0401	8766462838	876646 2838	0
Mug	MugMemChelsosny	0	0489	8767803501	876780 3501	27-72
Mug	MugMemChelsosny	0	0673	8768515246	876851 5246	0
Mug	MugMemChelsosny	0	0874	8766956943	876695 6943	0
Mug	MugMemChelsosny	0	0959	8768437709	876843 7709	0
Mug	MugMemChelsosny	0	1009	8768428118	876842 8118	0
Mug	MugMemChelsosny	0	1100	8768098871	876809 8871	0
Mug	MugMemChelsosny	0	1117	8768059008	876805 9008	0
Mug	MugMemCuteChmo	0	0182	8767201560	876720 1560	0
Mug	MugMemCuteTvari	0	0839	8767796580	876779 6580	0
Mug	MugMemMultKakoi	0	0170	8768831418	876883 1418	0
Mug	MugMemMultKakoi	0	0339	8768212361	876821 2361	0
Mug	MugMemMultKakoi	0	0597	8766204486	876620 4486	0
Mug	MugMemMultKim	0	1052	8767888426	876788 8426	28-72
Mug	MugMemMultNeVeri1	0	0129	8767391093	876739 1093	0
Mug	MugMemMultRukiProch	0	0108	8765900980	876590 0980	0
Mug	MugMemMultRukiProch	0	0125	8767861072	876786 1072	0
Mug	MugMemMultRukiProch	0	0421	8766073004	876607 3004	0
Mug	MugMemMultRukiProch	0	0763	8769156017	876915 6017	0
Mug	MugMemMultRukiProch	0	1021	8767018226	876701 8226	0
Mug	MugMemMultRukiProch	0	1067	8767638600	876763 8600	0
Mug	MugMemMultRussia	0	0052	8766810504	876681 0504	0
Mug	MugMemMultSebeMozg	0	0505	8768933622	876893 3622	0
Mug	MugMemMultSebeMozg	0	1134	8768489164	876848 9164	0
Mug	MugMemSueta1	0	0546	8769163963	876916 3963	0
Mug	MugMemUyiUyiuyi	0	0371	8767382547	876738 2547	29-72
Mug	MugMemUyiUyiuyi	0	0755	8766385986	876638 5986	0
Mug	MugMemUyiUyiuyi	0	0923	8767067437	876706 7437	0
Mug	MugNG18+gift	0	0106	8767840957	876784 0957	0
Mug	MugNG18+gift	0	1068	8767988606	876798 8606	0
Mug	MugNG18+Korgi	0	0049	8767670438	876767 0438	0
Mug	MugNG18+Korgi	0	0062	8768110561	876811 0561	0
Mug	MugNG18+Korgi	0	0344	8766652373	876665 2373	0
Mug	MugNG18+Korgi	0	0393	8767592798	876759 2798	0
Mug	MugNG18+Korgi	0	0484	8767283476	876728 3476	0
Mug	MugNG18+Korgi	0	0545	8767913962	876791 3962	0
Mug	MugNG18+Korgi	0	0564	8767564114	876756 4114	0
Mug	MugNG18+Korgi	0	0573	8767454268	876745 4268	30-72
Mug	MugNG18+Korgi	0	0580	8768174336	876817 4336	0
Mug	MugNG18+Korgi	0	0594	8768154465	876815 4465	0
Mug	MugNG18+Korgi	0	0715	8767745599	876774 5599	0
Mug	MugNG18+Korgi	0	0830	8768606466	876860 6466	0
Mug	MugNG18+Korgi	0	1014	8766958139	876695 8139	0
Mug	MugNG18+Korgi	0	1096	8768418843	876841 8843	0
Mug	MugNG18+Korgi	0	1208	8768489657	876848 9657	0
Mug	MugNG18+nosok	0	0006	8768340033	876834 0033	0
Mug	MugNG18+nosok	0	0043	8766310400	876631 0400	0
Mug	MugNG18+nosok	0	0045	8767290415	876729 0415	0
Mug	MugNG18+nosok	0	0051	8767830482	876783 0482	0
Mug	MugNG18+nosok	0	0117	8766931042	876693 1042	31-72
Mug	MugNG18+nosok	0	0176	8768831508	876883 1508	0
Mug	MugNG18+nosok	0	0177	8767991518	876799 1518	0
Mug	MugNG18+nosok	0	0194	8768121592	876812 1592	0
Mug	MugNG18+nosok	0	0225	8767361765	876736 1765	0
Mug	MugNG18+nosok	0	0273	8767951990	876795 1990	0
Mug	MugNG18+nosok	0	0381	8767252646	876725 2646	0
Mug	MugNG18+nosok	0	0388	8768032721	876803 2721	0
Mug	MugNG18+nosok	0	0443	8766383172	876638 3172	0
Mug	MugNG18+nosok	0	0521	8766203769	876620 3769	0
Mug	MugNG18+nosok	0	0590	8767124431	876712 4431	0
Mug	MugNG18+nosok	0	0629	8767184834	876718 4834	0
Mug	MugNG18+nosok	0	0659	8766305072	876630 5072	32-72
Mug	MugNG18+nosok	0	0669	8768125194	876812 5194	0
Mug	MugNG18+nosok	0	0705	8766225522	876622 5522	0
Mug	MugNG18+nosok	0	0807	8768316291	876831 6291	0
Mug	MugNG18+nosok	0	0894	8765917183	876591 7183	0
Mug	MugNG18+nosok	0	0901	8766757251	876675 7251	0
Mug	MugNG18+nosok	0	0931	8767907480	876790 7480	0
Mug	MugNG18+nosok	0	0946	8768167633	876816 7633	0
Mug	MugNG18+nosok	0	0979	8767737910	876773 7910	0
Mug	MugNG18+nosok	0	1000	8766768016	876676 8016	0
Mug	MugNG18+nosok	0	1004	8766308060	876630 8060	0
Mug	MugNG18+nosok	0	1082	8766298687	876629 8687	0
Mug	MugNG18+nosok	0	1094	8767898799	876789 8799	33-72
Mug	MugNG18+nosok	0	1167	8768549367	876854 9367	0
Mug	MugNG18+nosok	0	1187	8768089488	876808 9488	0
Mug	MugNG18+nosok	0	1236	8767669886	876766 9886	0
Mug	MugNG18+prynik	0	0087	8767940749	876794 0749	0
Mug	MugNG18+prynik	0	0449	8769043223	876904 3223	0
Mug	MugNG18+prynik	0	0480	8768443452	876844 3452	0
Mug	MugNG18+prynik	0	0524	8768413794	876841 3794	0
Mug	MugNG18+prynik	0	0548	8767733965	876773 3965	0
Mug	MugNG18+prynik	0	0575	8767904288	876790 4288	0
Mug	MugNG18+prynik	0	0581	8766354350	876635 4350	0
Mug	MugNG18+prynik	0	0631	8767454835	876745 4835	0
Mug	MugNG18+prynik	0	0938	8768527567	876852 7567	34-72
Mug	MugNG18+prynik	0	1076	8768828661	876882 8661	0
Mug	MugNG18+prynik	0	1235	8767669885	876766 9885	0
Mug	MugNG18+snowman	0	0011	8768120074	876812 0074	0
Mug	MugNG18+snowman	0	0033	8767190318	876719 0318	0
Mug	MugNG18+snowman	0	0193	8767401591	876740 1591	0
Mug	MugNG18+snowman	0	0442	8768803170	876880 3170	0
Mug	MugNG18+snowman	0	0531	8768853861	876885 3861	0
Mug	MugNG18+snowman	0	0666	8767745123	876774 5123	0
Mug	MugNG18+snowman	0	0753	8767265975	876726 5975	0
Mug	MugNG18+snowman	0	0760	8768216004	876821 6004	0
Mug	MugNG18+snowman	0	0870	8767256908	876725 6908	0
Mug	MugNG18+snowman	0	1156	8766209327	876620 9327	35-72
Mug	MugNG2022elki	0	0104	8768350948	876835 0948	0
Mug	MugNG2022elki	0	0105	8768350949	876835 0949	0
Mug	MugNG2022elki	0	0370	8768932542	876893 2542	0
Mug	MugNG2022elki	0	0466	8767403371	876740 3371	0
Mug	MugNG2022elki	0	0781	8768216107	876821 6107	0
Mug	MugNG2022elki	0	0954	8767657685	876765 7685	0
Mug	MugNG2022elki	0	0955	8767067689	876706 7689	0
Mug	MugNG2022elki	0	1043	8767638389	876763 8389	0
Mug	MugNGelka	0	0080	8767730663	876773 0663	0
Mug	MugNGelka	0	0357	8766642442	876664 2442	0
Mug	MugNGelka	0	0379	8767342635	876734 2635	0
Mug	MugNGelka	0	0486	8766113480	876611 3480	36-72
Mug	MugNGelka	0	0556	8765954037	876595 4037	0
Mug	MugNGelka	0	0621	8766444700	876644 4700	0
Mug	MugNGelka	0	0691	8767455410	876745 5410	0
Mug	MugNGelka	0	0706	8767845524	876784 5524	0
Mug	MugNGelka	0	0795	8767746207	876774 6207	0
Mug	MugNGelka	0	0936	8766987530	876698 7530	0
Mug	MugNGelka	0	1168	8767899377	876789 9377	0
Mug	MugNGleon	0	0064	8768740572	876874 0572	0
Mug	MugNGleon	0	0179	8768681527	876868 1527	0
Mug	MugNGleon	0	0235	8766451834	876645 1834	0
Mug	MugNGleon	0	0274	8767181994	876718 1994	0
Mug	MugNGleon	0	0323	8766792227	876679 2227	37-72
Mug	MugNGleon	0	0418	8769142990	876914 2990	0
Mug	MugNGleon	0	0440	8766993165	876699 3165	0
Mug	MugNGleon	0	0796	8767746209	876774 6209	0
Mug	MugNGleon	0	1113	8768888992	876888 8992	0
Mug	MugNGleon	0	1165	8766719360	876671 9360	0
Mug	MugNGmem	0	0004	8766920014	876692 0014	0
Mug	MugNGmem	0	0007	8767730044	876773 0044	0
Mug	MugNGmem	0	0018	8767200180	876720 0180	0
Mug	MugNGmem	0	0022	8767420201	876742 0201	0
Mug	MugNGmem	0	0027	8768230258	876823 0258	0
Mug	MugNGmem	0	0029	8766000278	876600 0278	0
Mug	MugNGmem	0	0036	8767720352	876772 0352	38-72
Mug	MugNGmem	0	0053	8767510509	876751 0509	0
Mug	MugNGmem	0	0054	8766610520	876661 0520	0
Mug	MugNGmem	0	0059	8768910554	876891 0554	0
Mug	MugNGmem	0	0060	8768150558	876815 0558	0
Mug	MugNGmem	0	0061	8768110560	876811 0560	0
Mug	MugNGmem	0	0068	8768740577	876874 0577	0
Mug	MugNGmem	0	0069	8768740578	876874 0578	0
Mug	MugNGmem	0	0072	8768260581	876826 0581	0
Mug	MugNGmem	0	0073	8766400588	876640 0588	0
Mug	MugNGmem	0	0074	8766400590	876640 0590	0
Mug	MugNGmem	0	0075	8769150621	876915 0621	0
Mug	MugNGmem	0	0081	8765990671	876599 0671	39-72
Mug	MugNGmem	0	0083	8767440678	876744 0678	0
Mug	MugNGmem	0	0085	8765950719	876595 0719	0
Mug	MugNGmem	0	0095	8767350863	876735 0863	0
Mug	MugNGmem	0	0114	8767911019	876791 1019	0
Mug	MugNGmem	0	0115	8766681033	876668 1033	0
Mug	MugNGmem	0	0116	8765981035	876598 1035	0
Mug	MugNGmem	0	0119	8767841046	876784 1046	0
Mug	MugNGmem	0	0123	8768991061	876899 1061	0
Mug	MugNGmem	0	0124	8768621068	876862 1068	0
